,Name,Size,Price,Location
469,Vacant Land,3 156 m²,R 170 000,Friemersheim
470,2 Bedroom House,489 m²,R 3 995 000,Heiderand
471,1 Bedroom Apartment,1 350 m²,R 1 100 000,Mossel Bay Central
472,Vacant Land,3 765 m²,R 2 250 000,Nautilus Bay
473,3 Bedroom House,625 m²,R 3 150 000,Seemeeu Park
474,Vacant Land,656 m²,R 598 000,Kwanonqaba
475,4 Bedroom House,1 055 m²,R 21 220 000,Moquini Coastal Estate
476,7 Bedroom House,1 300 m²,R 3 999 000,Dana Bay
477,3 Bedroom House,920 m²,R 4 200 000,Dana Bay
478,3 Bedroom Apartment,350 m²,R 2 850 000,Diaz Beach
479,Vacant Land,1 400 m²,R 870 000,Dana Bay
480,Vacant Land,756 m²,R 610 000,Kwanonqaba
481,Vacant Land,350 m²,R 1 800 000,Dana Bay
482,Vacant Land,709 m²,R 870 000,Dana Bay
483,Commercial Property,714 m²,R 5 390 000,Mossel Bay Rural
484,4 Bedroom House,1 250 m²,R 6 300 000,Dana Bay
485,4 Bedroom House,352 m²,R 5 990 000,Mossel Bay Central
486,Vacant Land,220 m²,R 2 831 000,Moquini Coastal Estate
487,Vacant Land,327 m²,R 1 020 000,Blue Ridge
488,3 Bedroom Townhouse,435 m²,R 2 400 000,Island View
489,2 Bedroom Apartment,223 m²,R 2 680 000,Pinnacle Point Golf Estate
490,2 Bedroom Apartment,111 ha,R 930 000,Mossel Bay Central
491,3 Bedroom Townhouse,610 m²,R 2 299 000,Island View
492,4 Bedroom House,700 m²,R 3 195 000,Menkenkop
493,Vacant Land,1 250 m²,R 560 000,Kwanonqaba
494,3 Bedroom House,608 m²,R 3 350 000,Seemeeu Park
495,2 Bedroom Apartment,238 m²,R 2 800 000,Pinnacle Point Golf Estate
496,3 Bedroom Townhouse,1 170 m²,R 2 380 000,Dana Bay
497,Vacant Land,814 m²,R 3 800 000,Pinnacle Point Golf Estate
498,Vacant Land,500 m²,R 999 000,Island View
499,3 Bedroom House,238 m²,R 2 990 000,Island View
500,3 Bedroom Apartment,550 m²,R 2 625 000,Island View
501,3 Bedroom Townhouse,940 m²,R 2 380 000,Dana Bay
502,3 Bedroom House,386 ha,R 3 495 000,Dana Bay
503,5 Bedroom House,948 m²,R 3 690 000,Dana Bay
504,2 Bedroom Apartment,826 m²,R 1 680 000,De Bakke
505,Farm,435 m²,R 21 500 000,Mossel Bay Rural
506,Vacant Land,100 m²,R 1 490 000,Island View
507,Vacant Land,351 m²,R 1 250 000,Island View
508,3 Bedroom Apartment,231 m²,R 3 350 000,Diaz Beach
509,3 Bedroom House,221 m²,R 2 625 000,Island View
510,3 Bedroom House,1 125 m²,R 7 490 000,Pinnacle Point Golf Estate
511,Vacant Land,1 020 m²,R 1 790 000,Dana Bay
512,Vacant Land,921 m²,R 450 000,Mossel Bay Rural
513,2 Bedroom Apartment,435 m²,R 1 399 000,Heiderand
514,3 Bedroom House,250 m²,R 3 300 000,Seemeeu Park
515,3 Bedroom House,500 m²,R 4 200 000,Pinnacle Point Golf Estate
516,4 Bedroom House,2 470 m²,R 3 650 000,Menkenkop
517,4 Bedroom House,615 m²,R 3 595 000,Springerbaai Eco Estate
518,3 Bedroom House,126 m²,R 4 295 000,Boggomsbaai
519,3 Bedroom Townhouse,8 165 m²,R 3 350 000,Diaz Beach
520,10 Bedroom House,250 m²,R 45 995 000,Pinnacle Point Golf Estate
521,1 Bedroom Townhouse,889 m²,R 1 720 000,Diaz Beach
